host_id,id,neighbourhood_cleansed,market,latitude,longitude,price,room_type,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location
3732416,5008195,Noord-West,Amsterdam,52.41154170873254,4.9150872074068515,50.00,Private room,0,0,0,0,0
9988208,1928474,Noord-West,Amsterdam,52.40895089938002,4.899948184321923,110.00,Entire home/apt,8,6,10,10,8
6533918,9278051,Noord-West,Amsterdam,52.402251933685214,4.9178750656772054,109.00,Entire home/apt,0,0,0,0,0
11944049,6811699,Noord-West,Amsterdam,52.40951909373108,4.907795975548771,40.00,Entire home/apt,8,8,9,9,8
48146191,9269326,Noord-West,Amsterdam,52.420522564144804,4.891265979600841,55.00,Private room,10,10,10,10,10
26981073,5215009,Noord-West,Amsterdam,52.41531332840474,4.899706183351682,73.00,Entire home/apt,9,9,10,10,8
5290998,8385328,Noord-West,Amsterdam,52.40087899130336,4.920708979740623,175.00,Entire home/apt,10,9,10,10,9
5994388,1081307,Oud-Noord,Amsterdam,52.39883861193617,4.9186145664016445,80.00,Entire home/apt,10,10,10,10,9
29381302,5667513,Oud-Noord,Amsterdam,52.39327488106994,4.9307465449320445,96.00,Entire home/apt,10,10,10,10,10
16705090,3308196,Oud-Noord,Amsterdam,52.38753548671514,4.94600843107187,180.00,Entire home/apt,10,10,10,10,10
7734473,9206180,Oud-Noord,Amsterdam,52.38779984182755,4.906398592016324,145.00,Entire home/apt,10,10,10,10,8
